id,age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,G3,sex.e,famsize.e,Pstatus.e,Mjob.e,Fjob.e,reason.e,guardian.e,schoolsup.e,famsup.e,paid.e,activities.e,nursery.e,higher.e,internet.e,romantic.e,result
1,17,2,3,1,4,0,5,4,2,2,1,2,8,12,1,0,1,0,0,2,1,1,0,1,1,0,1,1,0,1
2,18,3,4,4,2,1,5,3,5,5,2,2,16,7,1,0,0,2,2,2,0,0,1,0,1,1,1,0,0,0
3,15,4,1,3,2,3,2,2,1,4,5,5,20,4,1,0,0,3,3,3,0,1,1,0,1,0,1,0,0,0
4,17,1,0,4,2,2,2,4,5,4,5,4,28,0,1,1,0,0,4,1,1,0,1,0,0,0,1,0,0,0
5,17,2,4,3,4,3,5,4,5,3,3,3,20,8,0,1,1,4,1,1,2,1,1,0,0,1,0,1,1,0
6,18,4,1,1,3,0,5,5,4,1,1,5,7,12,1,1,0,2,3,2,2,1,0,0,1,0,1,1,0,1
7,15,4,0,4,2,3,4,2,1,4,4,4,10,8,1,1,0,3,0,3,2,0,1,0,1,1,1,0,1,0
8,15,2,0,1,3,2,2,3,3,2,4,1,26,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0
9,17,1,2,1,10,0,5,3,2,1,4,5,4,20,0,0,1,0,0,3,2,0,0,1,1,0,1,1,0,1
10,16,2,0,3,1,3,1,2,4,5,3,4,12,0,1,0,1,4,1,3,2,0,0,1,0,1,1,0,0,0
11,17,4,1,3,3,3,2,4,4,4,1,5,11,5,1,0,1,4,2,3,0,0,1,1,1,0,1,0,0,0
12,17,0,4,3,1,2,2,3,3,2,2,1,7,9,0,1,0,2,0,1,2,1,1,0,0,0,0,0,0,0
13,17,2,4,2,9,1,1,3,4,5,2,1,0,17,0,0,1,3,1,0,1,0,0,1,1,0,0,1,1,1
14,17,4,2,4,2,2,5,3,1,2,3,5,25,4,1,1,0,0,0,3,0,1,1,0,0,1,0,0,0,0
15,18,2,1,3,1,3,3,1,4,4,5,5,29,7,1,0,1,2,3,1,1,0,1,0,0,1,0,0,0,0
16,15,4,0,1,5,1,2,2,4,5,4,3,2,14,1,0,1,2,0,1,2,1,0,1,0,1,0,1,1,1
17,18,1,2,3,5,2,5,1,3,5,5,2,15,10,1,0,0,4,0,2,1,0,0,0,0,1,0,0,0,1
18,18,4,3,3,1,2,1,1,2,3,2,4,22,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
