id,age,sex,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G3
1,17,M,U,GT3,T,2,3,at_home,at_home,other,mother,1,4,0,yes,no,yes,yes,no,yes,yes,no,5,4,5,2,1,5,8,14.9
2,18,M,R,GT3,A,3,4,other,other,other,father,4,5,1,yes,yes,no,yes,yes,yes,no,no,4,4,7,3,4,5,16,7.2
3,15,M,U,GT3,A,4,1,services,services,reputation,father,3,1,3,yes,yes,yes,yes,no,no,no,no,2,3,2,3,3,4,20,2.9
4,17,M,R,LE3,A,1,0,at_home,teacher,home,mother,4,1,2,yes,yes,no,no,no,yes,no,no,3,4,5,5,4,4,28,1.6
5,17,F,R,LE3,T,2,4,teacher,health,home,other,3,2,2,yes,yes,yes,no,yes,no,no,yes,3,4,7,5,4,4,20,8.8
6,18,M,U,LE3,A,4,1,other,services,other,other,1,3,0,yes,no,no,yes,no,yes,yes,no,5,5,7,1,1,3,7,14.2
7,15,M,R,LE3,A,4,0,services,at_home,reputation,other,4,1,3,no,yes,no,yes,yes,yes,no,yes,4,4,3,4,4,4,10,8.1
8,15,M,R,GT3,T,2,0,at_home,health,course,father,1,3,2,yes,yes,yes,yes,no,no,no,yes,5,3,3,5,5,5,26,2
9,17,F,U,GT3,T,1,2,at_home,at_home,reputation,other,1,10,0,no,no,yes,yes,no,yes,yes,no,5,3,8,0,4,3,4,20
10,16,M,U,GT3,T,2,0,teacher,health,reputation,other,3,1,4,yes,no,yes,no,yes,yes,no,no,3,4,6,5,3,5,12,2
11,17,M,U,GT3,T,4,1,teacher,other,reputation,father,3,1,3,yes,yes,yes,yes,no,yes,no,no,3,3,7,5,1,5,11,5.6
12,17,F,U,LE3,A,0,4,other,at_home,home,other,3,1,2,yes,yes,no,no,no,no,no,no,5,4,5,2,2,1,7,8.7
